# condition_12 evaluation results
# Format: x y z distance
# Total data points: 300
#
0.212220 0.749214 0.328392 0.014276
-0.109725 0.946240 0.604779 0.020065
-0.277113 1.646050 0.386373 0.067608
0.499558 1.378873 0.261728 0.102401
-0.294486 1.407081 0.556515 0.049594
-0.504410 1.505616 0.194194 0.187907
0.024446 1.436783 0.593542 0.164795
-0.059432 1.167180 0.619281 0.023124
0.192223 0.975824 0.027143 0.019797
0.345144 1.183257 0.273963 0.030875
-0.044646 1.621371 0.237357 0.134115
-0.266359 1.289784 0.346479 0.063269
-0.347096 1.785867 0.225488 0.039013
-0.259151 1.577873 0.535689 0.049941
0.149527 1.196716 0.631234 0.019144
0.511111 1.289379 0.125321 0.094269
0.079139 1.698419 -0.073421 0.091771
0.390530 1.054136 0.034803 0.031678
-0.356155 1.560769 0.186127 0.202943
-0.162976 1.490827 0.461412 0.047250
0.433712 1.048496 -0.181298 0.049710
0.349362 1.221966 -0.294730 0.049349
-0.042822 1.814408 -0.001532 0.090822
-0.143781 1.324534 0.573217 0.027391
-0.121824 1.613285 0.380101 0.120223
0.110926 1.594587 0.179855 0.119592
-0.357698 1.153087 0.113438 0.239331
0.205529 1.158623 0.184053 0.019220
0.491042 1.089041 0.500602 0.007997
0.083896 1.832052 0.410043 0.047638
0.238712 1.303033 0.677972 0.027607
-0.569717 1.320178 0.449382 0.044075
-0.558709 1.098137 0.386246 0.048516
0.155040 1.209156 0.494754 0.033728
-0.405889 0.781436 0.286755 0.039917
0.373951 1.560711 0.460261 0.118766
0.352140 0.874899 0.367783 0.021255
-0.199972 1.777862 0.420222 0.111868
-0.526313 1.030567 0.149697 0.089873
-0.295971 0.772542 -0.063798 0.055986
0.300415 0.824469 0.210606 0.026345
-0.270109 0.957764 0.140052 0.049452
0.467907 1.099715 0.313661 0.030778
-0.101350 1.271504 0.695968 0.044663
0.104924 1.056469 0.709272 0.037827
-0.629033 1.368726 -0.068177 0.380288
-0.241905 0.975177 0.508803 0.034264
-0.219243 1.731242 0.268824 0.208034
-0.026897 1.505504 -0.118610 0.022162
-0.035228 1.182709 0.429601 0.025715
-0.371815 0.959114 0.578285 0.037335
-0.640716 1.362180 0.248181 0.114169
-0.161243 1.846231 0.158872 0.044242
0.503843 1.163596 0.194388 0.041937
-0.140201 0.659052 0.347706 0.019045
0.468206 0.969487 0.238598 0.052181
0.041854 1.605887 0.028066 0.046935
-0.068600 1.533942 0.090587 0.042120
-0.207777 0.795366 0.366194 0.025278
-0.205700 1.098515 0.695352 0.108812
-0.006447 0.696181 0.205621 0.042001
0.304465 1.446374 0.428690 0.032533
-0.460350 1.268981 0.080978 0.292264
-0.269284 1.831676 0.051565 0.040655
0.369005 1.317142 -0.041841 0.044181
0.222845 0.873729 -0.088817 0.029219
0.384716 1.196484 0.100611 0.022927
-0.435707 1.769699 0.072707 0.097286
0.511258 1.221339 -0.002047 0.046695
0.386717 1.306346 0.363701 0.028517
0.445504 1.655094 -0.028152 0.046955
-0.084768 0.906834 -0.200285 0.168223
-0.148956 1.379693 0.332989 0.048587
-0.231808 1.081723 0.285133 0.048495
0.286596 1.207280 -0.058990 0.040794
0.409581 1.287402 -0.190002 0.049083
0.237906 1.013926 0.601995 0.028426
0.204838 1.346636 -0.025493 0.042894
-0.413064 1.677070 0.338568 0.051267
-0.260827 0.806330 0.494298 0.029929
-0.099768 1.651575 0.543540 0.158086
0.222699 1.161851 -0.402165 0.105362
0.262797 0.983178 0.212092 0.018399
0.008326 1.548837 0.439162 0.089458
-0.010626 0.600290 0.308025 0.032709
-0.401907 1.530942 0.544389 0.079714
-0.563470 1.462273 0.412008 0.049388
0.297613 1.155201 0.578407 0.114082
-0.033930 0.773695 0.572588 0.041522
0.342429 1.661175 0.365570 0.086918
-0.618219 1.336188 0.110819 0.222485
-0.475575 1.122643 0.266245 0.141090
0.330027 1.536133 0.098975 0.278869
0.294927 1.537801 -0.236048 0.050142
0.559325 1.260446 0.361024 0.069901
-0.213385 1.518185 0.294163 0.095012
0.470439 1.522400 0.117848 0.151159
-0.413429 1.385887 0.003843 0.419212
0.123362 1.013527 -0.212316 0.048561
0.124270 0.626285 0.258072 0.050104
-0.487268 1.022109 -0.070540 0.104042
-0.126718 1.712091 0.140975 0.160435
0.210553 1.257704 0.085964 0.017750
-0.396629 1.635088 -0.118538 0.119081
0.158230 1.710774 0.445885 0.429630
-0.036279 1.212813 -0.317014 0.123807
0.041984 1.054794 0.587588 0.058105
-0.365999 1.244778 -0.104753 0.363116
0.057029 0.888788 0.202946 0.031946
-0.053524 1.045233 0.712260 0.044136
0.257121 0.661099 0.138430 0.040178
0.247572 1.164980 -0.215217 0.047641
-0.435899 0.833970 0.003648 0.049236
0.250171 0.806968 0.487018 0.040979
-0.324918 1.346037 0.133888 0.083626
0.292259 1.448245 -0.073144 0.164721
-0.439195 1.058787 -0.285598 0.119658
