# condition_1 evaluation results
# Format: x y z distance
# Total data points: 300
#
-0.109725 0.946240 0.604779 0.561166
0.212220 0.749214 0.328392 0.286873
0.540022 1.061082 0.110890 0.715517
0.421478 1.481313 0.354122 1.021360
0.228269 1.573706 0.463732 1.072400
0.164994 0.873573 0.573797 0.485720
0.499558 1.378873 0.261728 0.946136
-0.504410 1.505616 0.194194 1.040200
-0.294486 1.407081 0.556515 0.951227
-0.277113 1.646050 0.386373 1.128260
0.024446 1.436783 0.593542 0.962844
-0.059432 1.167180 0.619281 0.736673
0.260206 1.303196 -0.164857 0.846901
0.352140 0.874899 0.367783 0.477406
-0.094713 1.494114 0.661665 1.044680
-0.035228 1.182709 0.429601 0.666097
-0.347096 1.785867 0.225488 1.267330
-0.259151 1.577873 0.535689 1.094750
-0.371815 0.959114 0.578285 0.623713
-0.357698 1.153087 0.113438 0.660537
0.043289 1.648292 0.576713 1.154570
0.079139 1.698419 -0.073421 1.171620
0.192223 0.975824 0.027143 0.464924
-0.044646 1.621371 0.237357 1.068160
0.511111 1.289379 0.125321 0.871384
0.199650 1.337762 0.354018 0.815972
0.345144 1.183257 0.273963 0.706318
0.220958 0.968793 0.440602 0.502023
0.149527 1.196716 0.631234 0.778699
0.253982 1.615246 0.229816 1.089640
-0.266359 1.289784 0.346479 0.774585
-0.356155 1.560769 0.186127 1.045740
-0.162976 1.490827 0.461412 0.977347
0.390530 1.054136 0.034803 0.622623
0.433712 1.048496 -0.181298 0.724112
-0.279292 1.245958 0.626207 0.836891
-0.143781 1.324534 0.573217 0.858330
-0.042822 1.814408 -0.001532 1.270890
0.349362 1.221966 -0.294730 0.864352
0.045353 1.741362 0.148665 1.186440
-0.450169 0.996334 0.397417 0.604862
0.070522 1.261603 0.727492 0.880210
0.011287 1.407175 0.383624 0.869324
0.104140 1.723590 0.289046 1.176960
0.145131 1.389435 -0.332437 0.976586
0.205529 1.158623 0.184053 0.622301
-0.121824 1.613285 0.380101 1.076090
0.083896 1.832052 0.410043 1.295180
-0.226553 1.419731 0.710554 1.016620
0.491042 1.089041 0.500602 0.761582
-0.207777 0.795366 0.366194 0.304336
-0.200835 1.382795 0.173017 0.847007
0.110926 1.594587 0.179855 1.040800
-0.205700 1.098515 0.695352 0.730922
-0.084109 0.813633 0.213405 0.260501
0.399152 1.433195 0.025560 0.955305
-0.068600 1.533942 0.090587 0.983625
0.176768 1.154461 0.345447 0.626756
-0.558709 1.098137 0.386246 0.744569
0.155040 1.209156 0.494754 0.712790
0.130841 1.524881 0.324623 0.984282
-0.091675 1.880369 0.312265 1.328960
-0.569717 1.320178 0.449382 0.940979
-0.640716 1.362180 0.248181 0.980484
0.173282 1.511089 0.627413 1.045430
-0.505593 1.181111 0.482918 0.806210
0.202637 1.418646 0.088910 0.881083
0.104924 1.056469 0.709272 0.713872
0.467907 1.099715 0.313661 0.708967
0.238712 1.303033 0.677972 0.899149
0.041854 1.605887 0.028066 1.060260
-0.270109 0.957764 0.140052 0.444718
-0.326258 0.880713 0.383316 0.445586
-0.216039 1.593359 0.082091 1.061950
0.370675 1.160631 0.428320 0.726263
-0.629033 1.368726 -0.068177 1.008570
0.373951 1.560711 0.460261 1.096890
0.506954 1.016118 -0.056279 0.702541
0.139178 1.471435 0.452091 0.946604
-0.340802 1.681277 0.028582 1.169060
0.097679 1.418905 0.220871 0.869084
0.235067 1.709419 0.048535 1.177740
-0.526313 1.030567 0.149697 0.645273
0.422728 1.461487 -0.154256 1.031020
0.232855 1.595341 -0.063198 1.084480
0.503843 1.163596 0.194388 0.763417
-0.101350 1.271504 0.695968 0.868083
-0.199972 1.777862 0.420222 1.250900
0.221501 1.376024 0.522924 0.895757
0.078340 0.967310 0.453602 0.471196
-0.026897 1.505504 -0.118610 0.993601
-0.295971 0.772542 -0.063798 0.376141
-0.140201 0.659052 0.347706 0.168459
0.164783 0.883145 0.333689 0.371379
-0.219059 1.197007 0.509653 0.727606
0.019197 0.774324 0.376067 0.256500
-0.509319 0.892885 0.147384 0.534697
0.300415 0.824469 0.210606 0.376413
-0.210499 0.709626 0.158759 0.186266
-0.405889 0.781436 0.286755 0.398014
0.153549 1.488018 -0.174213 1.002550
-0.161243 1.846231 0.158872 1.298400
0.468206 0.969487 0.238598 0.597089
-0.241905 0.975177 0.508803 0.539197
0.039109 1.322953 0.498784 0.821315
-0.398762 1.550965 0.387882 1.066360
-0.530340 1.239982 0.317703 0.826941
0.342129 1.466439 0.230911 0.961969
0.298336 1.292138 0.205913 0.780641
-0.219243 1.731242 0.268824 1.191700
-0.006447 0.696181 0.205621 0.138537
0.349031 1.008542 0.410877 0.584550
0.304465 1.446374 0.428690 0.953096
-0.460350 1.268981 0.080978 0.811600
-0.457448 1.289716 0.560314 0.899205
-0.040644 1.758511 0.444308 1.225900
0.222845 0.873729 -0.088817 0.446657
-0.269284 1.831676 0.051565 1.306010
0.384716 1.196484 0.100611 0.728004
0.369005 1.317142 -0.041841 0.852721
-0.435707 1.769699 0.072707 1.273820
-0.304892 1.136208 0.415024 0.659696
-0.382634 0.668742 0.131559 0.316422
0.511258 1.221339 -0.002047 0.831442
0.386717 1.306346 0.363701 0.849918
0.399909 1.273180 0.534623 0.865712
0.445504 1.655094 -0.028152 1.186270
-0.084768 0.906834 -0.200285 0.496417
-0.148956 1.379693 0.332989 0.842481
-0.231808 1.081723 0.285133 0.555870
-0.290737 1.471346 0.011610 0.953747
0.286596 1.207280 -0.058990 0.727961
0.297138 1.451972 0.630830 1.021990
0.409581 1.287402 -0.190002 0.889522
0.204838 1.346636 -0.025493 0.826640
-0.529108 1.583373 0.022135 1.131500
0.237906 1.013926 0.601995 0.625850
-0.370611 1.223541 0.245478 0.730681
-0.413064 1.677070 0.338568 1.183200
0.318411 0.912492 0.559489 0.569929
-0.070024 1.475697 0.256371 0.925689
-0.260827 0.806330 0.494298 0.412699
-0.111663 1.007251 0.386105 0.490394
-0.099768 1.651575 0.543540 1.146850
-0.196401 1.532520 -0.177668 1.042310
0.349176 0.820955 -0.036181 0.466484
0.222699 1.161851 -0.402165 0.848202
-0.365129 1.129716 0.636388 0.771148
-0.143634 0.662986 0.040047 0.164585
0.048255 1.225377 -0.129829 0.731828
0.411030 1.626434 0.239348 1.137040
0.262797 0.983178 0.212092 0.482083
