template_id,tier,type,target_groups,target_group,pattern_name,severity,description,valid
template_001,2,pairwise_combination,scapular+small_shoulder,,,severe+normal,"scapular severe, small_shoulder normal",True
template_002,2,pairwise_combination,large_movers+elbow,,,severe+moderate,"large_movers severe, elbow moderate",True
template_003,1,single_group_severe,,elbow,,severe,elbow severe weakness,True
template_004,2,pairwise_combination,rotator_cuff+wrist,,,severe+severe,"rotator_cuff severe, wrist severe",True
template_005,1,single_group_severe,,rotator_cuff,,severe,rotator_cuff severe weakness,True
template_006,4,edge_case,,,compensation_scapular_for_deltoid,variable,Edge case: compensation_scapular_for_deltoid,False
template_007,1,single_group_mixed,,wrist,,mixed,wrist mixed severity weakness,True
template_008,3,clinical_syndrome,,,sci_c5_complete,variable,Clinical pattern: sci_c5_complete,True
template_009,1,single_group_mixed,,forearm,,mixed,forearm mixed severity weakness,True
template_010,1,single_group_severe,,wrist,,severe,wrist severe weakness,True
template_011,2,pairwise_combination,forearm+wrist,,,severe+moderate,"forearm severe, wrist moderate",True
template_012,2,pairwise_combination,large_movers+wrist,,,moderate+moderate,"large_movers moderate, wrist moderate",True
template_013,4,three_group_combination,large_movers+small_shoulder+elbow,,,moderate+normal+severe,"Three-group: large_movers moderate, small_shoulder normal, elbow severe",True
template_014,2,pairwise_combination,elbow+wrist,,,moderate+moderate,"elbow moderate, wrist moderate",True
template_015,4,three_group_combination,deltoid+large_movers+elbow,,,moderate+severe+normal,"Three-group: deltoid moderate, large_movers severe, elbow normal",True
template_016,4,edge_case,,,single_muscle_deltoid_anterior,variable,Edge case: single_muscle_deltoid_anterior,True
template_017,1,single_group_severe,,wrist,,severe,wrist severe weakness,True
template_018,2,pairwise_combination,deltoid+elbow,,,severe+severe,"deltoid severe, elbow severe",True
template_019,3,clinical_syndrome,,,suprascapular_nerve,variable,Clinical pattern: suprascapular_nerve,True
template_020,1,single_group_severe,,small_shoulder,,severe,small_shoulder severe weakness,True
template_021,1,single_group_mixed,,scapular,,mixed,scapular mixed severity weakness,True
template_022,1,single_group_severe,,small_shoulder,,severe,small_shoulder severe weakness,True
template_023,3,clinical_syndrome,,,sci_c6_incomplete,variable,Clinical pattern: sci_c6_incomplete,True
template_024,1,single_group_severe,,large_movers,,severe,large_movers severe weakness,True
template_025,2,pairwise_combination,rotator_cuff+large_movers,,,moderate+moderate,"rotator_cuff moderate, large_movers moderate",True
template_026,4,three_group_combination,large_movers+forearm+wrist,,,moderate+severe+normal,"Three-group: large_movers moderate, forearm severe, wrist normal",True
template_027,2,pairwise_combination,scapular+elbow,,,moderate+moderate,"scapular moderate, elbow moderate",True
